age,position_cat,market_value,page_views,fpl_value,fpl_points,region,big_club,fpl_sel
28,1,65.0,4329,12.0,264,3.0,1,17.1
28,1,50.0,4395,9.5,167,2.0,1,5.6
35,4,7.0,1529,5.5,134,2.0,1,5.9
28,1,20.0,2393,7.5,122,1.0,1,1.5
31,3,22.0,912,6.0,121,2.0,1,0.7
22,3,30.0,1675,6.0,119,2.0,1,13.7
30,1,22.0,2230,8.5,116,2.0,1,2.5
31,3,13.0,555,5.5,115,2.0,1,4.7
25,3,30.0,1877,5.5,90,2.0,1,4.0
21,1,10.0,1812,5.5,89,4.0,1,1.0
24,2,35.0,1815,5.5,85,2.0,1,2.0
23,2,22.0,1519,6.0,83,1.0,1,1.8
25,2,18.0,1759,5.5,61,1.0,1,0.0
26,2,35.0,1040,7.0,56,1.0,1,5.1
26,2,15.0,549,4.5,52,2.0,1,1.7
26,3,13.0,552,5.0,45,3.0,1,0.1
27,3,10.0,489,5.0,45,1.0,1,0.5
32,2,12.0,943,7.0,38,2.0,1,0.1
26,1,15.0,1521,7.5,37,1.0,1,0.5
21,3,7.0,666,5.0,32,1.0,1,1.7
25,2,10.0,683,4.5,26,4.0,1,0.8
28,1,15.0,2055,7.5,20,2.0,1,0.1
24,4,1.0,372,4.0,8,3.0,1,4.2
28,4,7.0,544,5.0,2,3.0,1,0.2
25,3,5.0,561,4.5,2,1.0,1,0.4
32,3,6.0,702,5.0,1,2.0,1,1.0
24,3,15.0,618,6.0,0,2.0,1,6.9
26,1,40.0,1183,10.5,0,2.0,1,26.5
25,1,8.0,997,7.5,178,2.0,0,10.4
34,1,5.0,3213,8.0,166,1.0,0,15.0
30,3,3.0,185,5.0,134,1.0,0,19.8
37,4,1.0,436,4.5,120,2.0,0,6.9
26,3,5.0,184,5.0,112,1.0,0,2.0
27,1,4.5,315,6.0,107,1.0,0,0.6
26,3,5.0,200,5.0,104,1.0,0,0.9
23,1,5.0,516,5.5,100,2.0,0,1.6
32,3,2.5,167,4.5,89,1.0,0,4.0
24,1,10.0,528,6.0,88,4.0,0,0.7
27,2,2.5,666,5.0,84,2.0,0,0.9
30,1,2.0,140,5.0,64,1.0,0,0.1
25,1,10.0,337,6.0,63,1.0,0,0.2
22,3,8.0,1274,5.0,55,2.0,0,11.5
27,2,3.0,184,5.0,49,1.0,0,0.1
30,2,2.0,154,4.5,44,1.0,0,1.1
21,1,8.0,504,5.0,36,1.0,0,0.4
20,2,6.0,243,4.5,17,1.0,0,0.8
21,1,4.0,131,5.0,14,2.0,0,0.1
32,4,1.0,126,4.0,8,4.0,0,1.5
29,1,7.0,287,5.0,8,4.0,0,0.1
24,3,5.0,422,4.5,4,1.0,0,0.4
23,3,2.0,297,4.0,4,4.0,0,3.3
30,4,8.0,697,4.5,2,2.0,0,9.3
32,4,0.25,103,4.0,0,2.0,0,2.1
25,4,3.5,344,4.5,0,4.0,0,1.5
25,3,5.0,140,4.5,0,1.0,0,4.1
25,3,5.0,243,4.5,0,2.0,0,0.6
31,3,1.5,88,4.0,0,2.0,0,8.0
36,1,0.5,215,4.5,0,3.0,0,0.4
29,3,1.5,97,4.5,0,4.0,0,0.2
33,3,1.0,132,4.0,0,1.0,0,3.2
24,3,0.75,52,4.0,0,1.0,0,0.8
30,3,2.0,23,4.5,0,2.0,0,0.2
25,1,8.0,726,6.0,0,2.0,0,4.8
27,2,5.0,122,4.5,0,1.0,0,0.9
29,2,1.25,167,4.5,0,4.0,0,0.3
34,2,1.0,461,4.5,0,1.0,0,0.6
23,2,0.5,139,5.0,0,1.0,0,0.2
25,1,1.5,87,5.0,0,2.0,0,0.1
26,2,2.5,134,4.5,0,2.0,0,0.2
27,1,1.75,114,5.0,0,2.0,0,0.1
26,2,4.0,22,5.5,0,2.0,0,0.3
33,1,3.5,496,6.0,0,1.0,0,1.3
30,1,2.5,253,5.0,0,4.0,0,0.4
28,1,3.0,204,5.0,0,1.0,0,0.2
31,4,4.0,717,5.0,149,1.0,0,13.5
27,1,4.5,290,6.0,121,2.0,0,2.9
26,1,10.0,687,6.5,108,1.0,0,1.7
27,3,6.0,166,4.5,94,1.0,0,13.7
31,3,1.5,152,4.5,91,2.0,0,2.5
28,3,2.5,121,4.5,90,1.0,0,1.2
27,1,2.5,287,5.5,81,1.0,0,1.2
25,2,6.0,352,5.5,76,2.0,0,0.2
28,2,3.0,304,5.0,69,3.0,0,0.1
29,2,6.0,336,5.5,54,2.0,0,0.2
33,2,1.0,171,4.5,51,1.0,0,0.0
28,2,5.0,204,4.5,50,1.0,0,0.5
26,1,2.5,180,5.0,47,2.0,0,0.1
25,2,10.0,614,5.5,39,2.0,0,0.4
24,3,2.0,116,4.5,23,1.0,0,0.1
27,2,4.0,161,4.5,13,1.0,0,0.1
26,3,0.5,68,4.0,3,2.0,0,1.7
35,2,0.25,255,4.5,0,1.0,0,0.4
26,1,75.0,4220,10.5,224,2.0,1,2.3
28,1,50.0,4454,10.0,196,2.0,1,3.0
31,3,16.0,1420,6.5,178,1.0,1,12.0
